54c5b0d6e6e1f51534d7a6a2b1a74eae,Marathon Bet,h2h,Boston Celtics,1.47
54c5b0d6e6e1f51534d7a6a2b1a74eae,Marathon Bet,h2h,Chicago Bulls,2.89
54c5b0d6e6e1f51534d7a6a2b1a74eae,Betfair,h2h,Boston Celtics,1.52
54c5b0d6e6e1f51534d7a6a2b1a74eae,Betfair,h2h,Chicago Bulls,2.8
54c5b0d6e6e1f51534d7a6a2b1a74eae,Betfair,h2h_lay,Boston Celtics,1.55
54c5b0d6e6e1f51534d7a6a2b1a74eae,Betfair,h2h_lay,Chicago Bulls,2.94
54c5b0d6e6e1f51534d7a6a2b1a74eae,Matchbook,h2h,Boston Celtics,1.53
54c5b0d6e6e1f51534d7a6a2b1a74eae,Matchbook,h2h,Chicago Bulls,2.84
54c5b0d6e6e1f51534d7a6a2b1a74eae,Matchbook,h2h_lay,Boston Celtics,1.54
54c5b0d6e6e1f51534d7a6a2b1a74eae,Matchbook,h2h_lay,Chicago Bulls,2.88
54c5b0d6e6e1f51534d7a6a2b1a74eae,William Hill,h2h,Boston Celtics,1.5
54c5b0d6e6e1f51534d7a6a2b1a74eae,William Hill,h2h,Chicago Bulls,2.75
711fa5eb787504b7b499023cf5e48b34,888sport,h2h,Los Angeles Clippers,2.14
711fa5eb787504b7b499023cf5e48b34,888sport,h2h,San Antonio Spurs,1.74
711fa5eb787504b7b499023cf5e48b34,Unibet,h2h,Los Angeles Clippers,2.14
711fa5eb787504b7b499023cf5e48b34,Unibet,h2h,San Antonio Spurs,1.74
711fa5eb787504b7b499023cf5e48b34,Betfair,h2h,Los Angeles Clippers,2.18
711fa5eb787504b7b499023cf5e48b34,Betfair,h2h,San Antonio Spurs,1.74
711fa5eb787504b7b499023cf5e48b34,Betfair,h2h_lay,Los Angeles Clippers,2.36
711fa5eb787504b7b499023cf5e48b34,Betfair,h2h_lay,San Antonio Spurs,1.84
711fa5eb787504b7b499023cf5e48b34,Marathon Bet,h2h,Los Angeles Clippers,2.24
711fa5eb787504b7b499023cf5e48b34,Marathon Bet,h2h,San Antonio Spurs,1.73
711fa5eb787504b7b499023cf5e48b34,Matchbook,h2h,Los Angeles Clippers,2.22
